id,Polling Center,Polling Station,Party_ID,Party,Votes,Municipality
2,0212C,0212C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,69,Gjakovë
2,0212C,0212C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,93,Gjakovë
2,0212C,0212C/06D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,71,Gjakovë
2,0212C,0212C/05R,144,LËVIZJA VETËVENDOSJE!,44,Gjakovë
2,0212C,0212C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,136,Gjakovë
2,0213C,0213C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,178,Gjakovë
2,0213C,0213C/01R,144,LËVIZJA VETËVENDOSJE!,29,Gjakovë
2,0213C,0213C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,85,Gjakovë
2,0213C,0213C/04D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,98,Gjakovë
2,0213C,0213C/02R,144,LËVIZJA VETËVENDOSJE!,17,Gjakovë
2,0213C,0213C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,145,Gjakovë
2,0213C,0213C/04D,144,LËVIZJA VETËVENDOSJE!,32,Gjakovë
2,0213C,0213C/03R,144,LËVIZJA VETËVENDOSJE!,18,Gjakovë
2,0214C,0214C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,234,Gjakovë
2,0214C,0214C/02R,144,LËVIZJA VETËVENDOSJE!,34,Gjakovë
2,0214C,0214C/01R,144,LËVIZJA VETËVENDOSJE!,19,Gjakovë
2,0214C,0214C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,193,Gjakovë
2,0214C,0214C/04D,144,LËVIZJA VETËVENDOSJE!,39,Gjakovë
2,0214C,0214C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,212,Gjakovë
2,0214C,0214C/04D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,137,Gjakovë
2,0214C,0214C/03R,144,LËVIZJA VETËVENDOSJE!,11,Gjakovë
2,0215C,0215C/03D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,146,Gjakovë
2,0215C,0215C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,186,Gjakovë
2,0215C,0215C/01R,144,LËVIZJA VETËVENDOSJE!,41,Gjakovë
2,0215C,0215C/02R,144,LËVIZJA VETËVENDOSJE!,33,Gjakovë
2,0215C,0215C/03D,144,LËVIZJA VETËVENDOSJE!,52,Gjakovë
2,0215C,0215C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,193,Gjakovë
2,0216C,0216C/02R,144,LËVIZJA VETËVENDOSJE!,15,Gjakovë
2,0216C,0216C/03D,144,LËVIZJA VETËVENDOSJE!,18,Gjakovë
2,0216C,0216C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,151,Gjakovë
2,0216C,0216C/01R,144,LËVIZJA VETËVENDOSJE!,21,Gjakovë
2,0216C,0216C/03D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,172,Gjakovë
2,0216C,0216C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,173,Gjakovë
2,0217C,0217C/01D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,132,Gjakovë
2,0217C,0217C/01D,144,LËVIZJA VETËVENDOSJE!,34,Gjakovë
2,0218C,0218C/02D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,151,Gjakovë
2,0218C,0218C/01R,144,LËVIZJA VETËVENDOSJE!,8,Gjakovë
2,0218C,0218C/02D,144,LËVIZJA VETËVENDOSJE!,22,Gjakovë
2,0218C,0218C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,170,Gjakovë
