Candidate,Gender,Party_ID,Party,Acronym,Votes
RAMË BERISHA,M,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,24
RAMË BUJA,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,5298
RAMË MUÇA,M,18,PARTIA ROME E BASHKUAR E KOSOVËS,,72
RAMË VATAJ,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,5407
RAMIT SAITI,M,14,KOALICIJA VAKAT,,132
RAMIZ LLUGAXHIU,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,1023
RAMIZ QERIQI,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,1289
RAMIZ ZIZAKU,M,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,44
RAMIZE SHALA,F,9,AAK-PSD KOALICIONI 100% KOSOVË,,646
RAMUSH AGUSHI,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,4838
RAMUSH HARADINAJ,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,76163
RASIM DEMIRI,M,14,KOALICIJA VAKAT,,3288
RASIM KRASNIQ,M,18,PARTIA ROME E BASHKUAR E KOSOVËS,,109
RASIM SELMANAJ,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,8081
RAZË RAMAJ,F,18,PARTIA ROME E BASHKUAR E KOSOVËS,,29
REDŽEP KAMBERI,M,23,GRAÐANSKA İNİCİJATİVA GORE,,115
REDŽEP KULJIĆI,M,14,KOALICIJA VAKAT,,486
REDŽO KOJIC,M,8,NOVA DEMOKRATSKA STRANKA,,222
REFIK BANDIĆ,M,4,STRANKA DEMOKRATSKE AKCIJE,,21
REFIK ŠAĆIRI,M,8,NOVA DEMOKRATSKA STRANKA,,424
REFIQE TËRNAVA BEKA,F,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,3034
REFKI BYTYÇI,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,1415
REJHAN ABDI,M,8,NOVA DEMOKRATSKA STRANKA,,333
REMZIJE ARIFI,F,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,24
RESHAT NURBOJA,M,16,LËVIZJA VETËVENDOSJE!,,2231
RESUL MAKRESHI,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,757
RESUL SINANI,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,921
REXHEP GJERGJI,M,24,LIDHJA DEMOKRATIKE E KOSOVËS,,3798
