id,Candidate,Gender,Party_ID,Party,Acronym,Votes,Municipality
36,ARDIANA BEKA,F,19,FJALA,,0,Partesh
36,ARDIANA IMERI,F,19,FJALA,,0,Partesh
36,ARDIJAN MAKSUTI,M,15,KOSOVAKI  NEVI  ROMANI  PARTIA,,0,Partesh
36,ARDITA RIZVANOLLI,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,ARHIM AJAZI,M,22,NOVA DEMOKRATSKA STRANKA,,0,Partesh
36,ARIAN ÇALLAKAJ,M,19,FJALA,,0,Partesh
36,ARIANIT TËRSHNJAKU,M,19,FJALA,,0,Partesh
36,ARİF BÜTÜÇ,M,23,KOSOVA TÜRK ADALET PARTISI,,0,Partesh
36,ARIF CËRMJANI,M,26,PARTIA ROME E BASHKUAR E KOSOVËS,,0,Partesh
36,ARIF HODŽA,M,1,JEDINSTVENA GORANSKA PARTIJA,,3,Partesh
36,ARIFE BERISHA,F,24,KOALICIJA SDA,,0,Partesh
36,ARIFE LOXHA,F,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,,0,Partesh
36,ARIJETA REXHEPI,F,25,Lëvizja VETËVENDOSJE!,,0,Partesh
36,ARMEND JAMINI,M,7,POKRET ZA GORA,,0,Partesh
36,ARMEND REXHEPI,M,19,FJALA,,0,Partesh
36,ARMEND ZEMAJ,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,ARMINA ŠERIFI,F,1,JEDINSTVENA GORANSKA PARTIJA,,0,Partesh
36,ARNESA IBRAHIMI,F,19,FJALA,,0,Partesh
36,ARSIM BAJRAMI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,0,Partesh
36,ARTA BAJRALIJA,F,25,Lëvizja VETËVENDOSJE!,,1,Partesh
36,ARTA HAXHAJ,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,ARTAN BERISHA,M,14,PARTIA LIBERALE EGJIPTIANE,,2,Partesh
36,ARZIE HALITI,F,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,0,Partesh
36,ARZIJE RIZAHI,F,14,PARTIA LIBERALE EGJIPTIANE,,0,Partesh
36,ASLAN KRUEZI,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,0,Partesh
36,ASMIR ČUČULJ,M,20,KOALICIJA VAKAT,,0,Partesh
36,ASTRIT SHALA,M,14,PARTIA LIBERALE EGJIPTIANE,,0,Partesh
36,ATDHE ARIFI,M,25,Lëvizja VETËVENDOSJE!,,0,Partesh
36,ATIM KALJOŠI,M,1,JEDINSTVENA GORANSKA PARTIJA,,0,Partesh
36,AVDIL HALIMI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,3,Partesh
36,AVDULAH DJEŠEVIĆ,M,22,NOVA DEMOKRATSKA STRANKA,,0,Partesh
