id,Polling Center,Polling Station,Candidate,Party_ID,Party,Acronym,Votes,Municipality
11,1109B,1109B/01R,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,88,Mitrovicë
11,1111B,1111B/04D,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,7,Mitrovicë
11,1111B,1111B/04D,BASRI BRAHIMI,14,BASRI BRAHIMI,,3,Mitrovicë
11,1111B,1111B/04D,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,57,Mitrovicë
11,1111B,1111B/01R,MEHMET MEHMETI,30,ALTERNATIVA,,3,Mitrovicë
11,1111B,1111B/03R,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,10,Mitrovicë
11,1111B,1111B/04D,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,58,Mitrovicë
11,1111B,1111B/03R,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,75,Mitrovicë
11,1111B,1111B/02R,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,95,Mitrovicë
11,1111B,1111B/01R,BASRI BRAHIMI,14,BASRI BRAHIMI,,13,Mitrovicë
11,1111B,1111B/03R,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,95,Mitrovicë
11,1111B,1111B/03R,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,52,Mitrovicë
11,1111B,1111B/04D,MEHMET MEHMETI,30,ALTERNATIVA,,5,Mitrovicë
11,1111B,1111B/02R,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,121,Mitrovicë
11,1111B,1111B/02R,NYSTRET PRETENI,46,FJALA,,6,Mitrovicë
11,1111B,1111B/03R,FISNIK GJINAJ,56,FISNIK GJINAJ,,5,Mitrovicë
11,1111B,1111B/04D,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,78,Mitrovicë
11,1111B,1111B/04D,NYSTRET PRETENI,46,FJALA,,3,Mitrovicë
11,1111B,1111B/01R,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,79,Mitrovicë
11,1111B,1111B/03R,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,4,Mitrovicë
11,1111B,1111B/03R,NYSTRET PRETENI,46,FJALA,,4,Mitrovicë
11,1111B,1111B/01R,FISNIK GJINAJ,56,FISNIK GJINAJ,,8,Mitrovicë
11,1111B,1111B/02R,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,8,Mitrovicë
11,1111B,1111B/03R,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,101,Mitrovicë
11,1111B,1111B/04D,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,2,Mitrovicë
11,1111B,1111B/01R,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,103,Mitrovicë
11,1111B,1111B/02R,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,77,Mitrovicë
11,1111B,1111B/01R,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,76,Mitrovicë
11,1111B,1111B/01R,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,12,Mitrovicë
11,1111B,1111B/02R,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,4,Mitrovicë
11,1111B,1111B/04D,FISNIK GJINAJ,56,FISNIK GJINAJ,,3,Mitrovicë
11,1111B,1111B/02R,BASRI BRAHIMI,14,BASRI BRAHIMI,,2,Mitrovicë
11,1111B,1111B/04D,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,114,Mitrovicë
11,1111B,1111B/03R,BASRI BRAHIMI,14,BASRI BRAHIMI,,4,Mitrovicë
11,1111B,1111B/02R,FISNIK GJINAJ,56,FISNIK GJINAJ,,10,Mitrovicë
11,1111B,1111B/01R,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,94,Mitrovicë
11,1111B,1111B/01R,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,5,Mitrovicë
11,1111B,1111B/02R,MEHMET MEHMETI,30,ALTERNATIVA,,5,Mitrovicë
11,1111B,1111B/01R,NYSTRET PRETENI,46,FJALA,,2,Mitrovicë
11,1111B,1111B/03R,MEHMET MEHMETI,30,ALTERNATIVA,,5,Mitrovicë
11,1111B,1111B/02R,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,84,Mitrovicë
11,1112B,1112B/01R,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,4,Mitrovicë
11,1112B,1112B/04D,BASRI BRAHIMI,14,BASRI BRAHIMI,,0,Mitrovicë
11,1112B,1112B/04D,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,1,Mitrovicë
11,1112B,1112B/04D,MEHMET MEHMETI,30,ALTERNATIVA,,2,Mitrovicë
11,1112B,1112B/01R,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,24,Mitrovicë
11,1112B,1112B/01R,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,219,Mitrovicë
11,1112B,1112B/04D,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,127,Mitrovicë
11,1112B,1112B/04D,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,22,Mitrovicë
11,1112B,1112B/03R,NYSTRET PRETENI,46,FJALA,,1,Mitrovicë
11,1112B,1112B/03R,BASRI BRAHIMI,14,BASRI BRAHIMI,,0,Mitrovicë
11,1112B,1112B/04D,NYSTRET PRETENI,46,FJALA,,1,Mitrovicë
11,1112B,1112B/01R,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,26,Mitrovicë
11,1112B,1112B/02R,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,39,Mitrovicë
11,1112B,1112B/03R,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,110,Mitrovicë
11,1112B,1112B/03R,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,50,Mitrovicë
11,1112B,1112B/02R,NYSTRET PRETENI,46,FJALA,,0,Mitrovicë
11,1112B,1112B/02R,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,236,Mitrovicë
11,1112B,1112B/04D,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,2,Mitrovicë
11,1112B,1112B/03R,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,57,Mitrovicë
11,1112B,1112B/03R,FISNIK GJINAJ,56,FISNIK GJINAJ,,0,Mitrovicë
11,1112B,1112B/03R,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,3,Mitrovicë
11,1112B,1112B/01R,NYSTRET PRETENI,46,FJALA,,0,Mitrovicë
11,1112B,1112B/03R,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,2,Mitrovicë
11,1112B,1112B/04D,FISNIK GJINAJ,56,FISNIK GJINAJ,,0,Mitrovicë
11,1112B,1112B/01R,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,2,Mitrovicë
11,1112B,1112B/01R,FISNIK GJINAJ,56,FISNIK GJINAJ,,0,Mitrovicë
11,1112B,1112B/02R,BASRI BRAHIMI,14,BASRI BRAHIMI,,0,Mitrovicë
11,1112B,1112B/01R,MEHMET MEHMETI,30,ALTERNATIVA,,0,Mitrovicë
11,1112B,1112B/02R,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,0,Mitrovicë
11,1112B,1112B/02R,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,100,Mitrovicë
11,1112B,1112B/01R,BASRI BRAHIMI,14,BASRI BRAHIMI,,0,Mitrovicë
11,1112B,1112B/04D,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,52,Mitrovicë
11,1112B,1112B/03R,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,222,Mitrovicë
11,1112B,1112B/03R,MEHMET MEHMETI,30,ALTERNATIVA,,0,Mitrovicë
11,1112B,1112B/02R,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,62,Mitrovicë
11,1112B,1112B/04D,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,184,Mitrovicë
11,1112B,1112B/02R,MEHMET MEHMETI,30,ALTERNATIVA,,0,Mitrovicë
11,1112B,1112B/02R,FISNIK GJINAJ,56,FISNIK GJINAJ,,0,Mitrovicë
11,1112B,1112B/02R,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,1,Mitrovicë
11,1112B,1112B/01R,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,106,Mitrovicë
11,1113B,1113B/01R,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,2,Mitrovicë
11,1113B,1113B/01R,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,85,Mitrovicë
11,1113B,1113B/02D,MEHMET MEHMETI,30,ALTERNATIVA,,0,Mitrovicë
11,1113B,1113B/02D,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,83,Mitrovicë
11,1113B,1113B/01R,MEHMET MEHMETI,30,ALTERNATIVA,,0,Mitrovicë
11,1113B,1113B/02D,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,27,Mitrovicë
11,1113B,1113B/01R,NYSTRET PRETENI,46,FJALA,,2,Mitrovicë
11,1113B,1113B/02D,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,54,Mitrovicë
11,1113B,1113B/02D,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,6,Mitrovicë
11,1113B,1113B/01R,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,56,Mitrovicë
11,1113B,1113B/01R,FISNIK GJINAJ,56,FISNIK GJINAJ,,0,Mitrovicë
11,1113B,1113B/01R,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,7,Mitrovicë
11,1113B,1113B/02D,FISNIK GJINAJ,56,FISNIK GJINAJ,,0,Mitrovicë
11,1113B,1113B/01R,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,34,Mitrovicë
11,1113B,1113B/02D,NYSTRET PRETENI,46,FJALA,,3,Mitrovicë
11,1113B,1113B/01R,BASRI BRAHIMI,14,BASRI BRAHIMI,,0,Mitrovicë
11,1113B,1113B/02D,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,51,Mitrovicë
11,1113B,1113B/02D,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,12,Mitrovicë
11,1113B,1113B/01R,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,44,Mitrovicë
11,1113B,1113B/02D,BASRI BRAHIMI,14,BASRI BRAHIMI,,0,Mitrovicë
11,1114B,1114B/02D,BASRI BRAHIMI,14,BASRI BRAHIMI,,0,Mitrovicë
11,1114B,1114B/01R,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,293,Mitrovicë
11,1114B,1114B/01R,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,1,Mitrovicë
11,1114B,1114B/01R,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,4,Mitrovicë
11,1114B,1114B/02D,MEHMET MEHMETI,30,ALTERNATIVA,,1,Mitrovicë
11,1114B,1114B/02D,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,7,Mitrovicë
11,1114B,1114B/02D,FISNIK GJINAJ,56,FISNIK GJINAJ,,0,Mitrovicë
11,1114B,1114B/02D,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,0,Mitrovicë
11,1114B,1114B/01R,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,32,Mitrovicë
11,1114B,1114B/02D,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,48,Mitrovicë
11,1114B,1114B/01R,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,44,Mitrovicë
11,1114B,1114B/02D,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,336,Mitrovicë
11,1114B,1114B/02D,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,5,Mitrovicë
11,1114B,1114B/01R,NYSTRET PRETENI,46,FJALA,,4,Mitrovicë
11,1114B,1114B/01R,BASRI BRAHIMI,14,BASRI BRAHIMI,,0,Mitrovicë
11,1114B,1114B/01R,FISNIK GJINAJ,56,FISNIK GJINAJ,,0,Mitrovicë
11,1114B,1114B/01R,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,16,Mitrovicë
11,1114B,1114B/01R,MEHMET MEHMETI,30,ALTERNATIVA,,0,Mitrovicë
11,1114B,1114B/02D,NYSTRET PRETENI,46,FJALA,,0,Mitrovicë
11,1114B,1114B/02D,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,73,Mitrovicë
11,1115B,1115B/01R,MEHMET MEHMETI,30,ALTERNATIVA,,1,Mitrovicë
11,1115B,1115B/02D,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,28,Mitrovicë
11,1115B,1115B/01R,FISNIK GJINAJ,56,FISNIK GJINAJ,,0,Mitrovicë
11,1115B,1115B/01R,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,80,Mitrovicë
11,1115B,1115B/02D,MEHMET MEHMETI,30,ALTERNATIVA,,0,Mitrovicë
11,1115B,1115B/01R,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,1,Mitrovicë
11,1115B,1115B/02D,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,48,Mitrovicë
11,1115B,1115B/02D,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,14,Mitrovicë
11,1115B,1115B/02D,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,2,Mitrovicë
11,1115B,1115B/01R,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,109,Mitrovicë
11,1115B,1115B/02D,FISNIK GJINAJ,56,FISNIK GJINAJ,,0,Mitrovicë
11,1115B,1115B/01R,NYSTRET PRETENI,46,FJALA,,1,Mitrovicë
11,1115B,1115B/02D,BASRI BRAHIMI,14,BASRI BRAHIMI,,0,Mitrovicë
11,1115B,1115B/02D,NYSTRET PRETENI,46,FJALA,,0,Mitrovicë
11,1115B,1115B/01R,BASRI BRAHIMI,14,BASRI BRAHIMI,,0,Mitrovicë
11,1115B,1115B/01R,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,9,Mitrovicë
11,1115B,1115B/02D,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,58,Mitrovicë
11,1115B,1115B/01R,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,22,Mitrovicë
11,1115B,1115B/02D,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,4,Mitrovicë
11,1115B,1115B/01R,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,77,Mitrovicë
11,1116B,1116B/02R,MEHMET MEHMETI,30,ALTERNATIVA,,1,Mitrovicë
11,1116B,1116B/02R,BASRI BRAHIMI,14,BASRI BRAHIMI,,2,Mitrovicë
11,1116B,1116B/02R,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,4,Mitrovicë
11,1116B,1116B/03D,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,17,Mitrovicë
11,1116B,1116B/01R,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,3,Mitrovicë
11,1116B,1116B/02R,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,50,Mitrovicë
