id,Polling Center,Candidate,Party_ID,Party,Acronym,Votes,Municipality
10,1002D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,123,Kamenicë
10,1002D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,397,Kamenicë
10,1002D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,338,Kamenicë
10,1003D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,0,Kamenicë
10,1003D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,48,Kamenicë
10,1003D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,60,Kamenicë
10,1003D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,53,Kamenicë
10,1003D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,79,Kamenicë
10,1003D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,64,Kamenicë
10,1004D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,0,Kamenicë
10,1004D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,40,Kamenicë
10,1004D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,50,Kamenicë
10,1004D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,59,Kamenicë
10,1004D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,70,Kamenicë
10,1004D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,55,Kamenicë
10,1005D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,53,Kamenicë
10,1005D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,15,Kamenicë
10,1005D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,42,Kamenicë
10,1005D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,90,Kamenicë
10,1005D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,536,Kamenicë
10,1005D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,150,Kamenicë
10,1006D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,1,Kamenicë
10,1006D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,1,Kamenicë
10,1006D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,17,Kamenicë
10,1006D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,13,Kamenicë
