id,Candidate,Party_ID,Party,Acronym,Votes,Municipality
4,LUTFI HAZIRI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,19755,Gjilan
4,NASER MORINA,44,PD - PARTIA E DREJTËSISË,,299,Gjilan
4,REXHEP KADRIU,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,3873,Gjilan
4,SAMI KURTESHI,10,LËVIZJA VETËVENDOSJE!,,12614,Gjilan
4,ZENUN PAJAZITI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,8182,Gjilan
5,ADMIR ŠOLA,40,JGP - JEDINSTVENA GORANSKA PARTIJA,,1418,Dragash
5,FATMIR HALILI,31,NISMA - NISMA PËR KOSOVËN,,223,Dragash
5,SAMIDIN DAUTI,10,LËVIZJA VETËVENDOSJE!,,814,Dragash
5,SELAMI SAITI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,505,Dragash
5,SELIM KRYEZIU,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,5150,Dragash
5,ŠERIF AGA,74,KOALICIJA VAKAT,,1427,Dragash
5,SHABAN SHABANI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,4962,Dragash
6,AGRON AVDIJAJ,10,LËVIZJA VETËVENDOSJE!,,1591,Istog
6,ARIF ELSHANI,60,IQ INCIATIVA TË PAVARURIT E ISTOGUT,,484,Istog
6,BEQIR SADIKAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,1644,Istog
6,GANI DRESHAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,6970,Istog
6,HAKI RUGOVA,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,8872,Istog
7,AGIM ÇAKA,31,NISMA - NISMA PËR KOSOVËN,,781,Kaçanik
7,BASRI KODRA,10,LËVIZJA VETËVENDOSJE!,,3439,Kaçanik
7,BESIM ILAZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,6582,Kaçanik
7,HAJRUSH KURTAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,2518,Kaçanik
7,SHKELQIM JAKUPI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,2985,Kaçanik
8,AVNI GASHI,34,AKR - ALEANCA KOSOVA E RE,,363,Klinë
8,BESIM HOTI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,4211,Klinë
8,IBER ELEZAJ,10,LËVIZJA VETËVENDOSJE!,,1306,Klinë
8,NEZIR GASHI,31,NISMA - NISMA PËR KOSOVËN,,763,Klinë
8,SOKOL BASHOTA,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,6816,Klinë
8,ZENUN ELEZAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,4594,Klinë
9,ADEM ZOGJANI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,1687,Fushë Kosovë
9,AHMET GRAJÇEVCI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,317,Fushë Kosovë
9,AVNI ZOGIANI,10,LËVIZJA VETËVENDOSJE!,,3005,Fushë Kosovë
9,BURIM BERISHA,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,9821,Fushë Kosovë
9,DRITON ADEMI,31,NISMA - NISMA PËR KOSOVËN,,228,Fushë Kosovë
9,ISUF AMETI,34,AKR - ALEANCA KOSOVA E RE,,285,Fushë Kosovë
9,YLBER ISLAMI,9,YLBER ISLAMI,,40,Fushë Kosovë
