Candidate,Gender,Party_ID,Party,Acronym,Votes
FADIL MJEKIQI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,122
FADIL RAMADANI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,173
FADIL RAMAJ,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,6
FADIL REXHAJ,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,51
FADIL RRUDHANI,M,61,LËVIZJA VETËVENDOSJE!,,34
FADIL SELIMAJ,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,203
FADIL SHALA,M,109,INICIATIVA QYTETARE PËR MALISHEVËN,,221
FADIL SHERIFI,M,44,LËVIZJA REPUBLIKANE,,45
FADIL SHTAVICA,M,89,AKR - ALEANCA KOSOVA E RE,,4
FADIL SPAHIU,M,61,LËVIZJA VETËVENDOSJE!,,153
FADIL VESELI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,525
FADIL XHYLANI,M,61,LËVIZJA VETËVENDOSJE!,,2
FAHREDIN BERISHA,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,202
FAHREDIN HAJDA,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,178
FAHREDIN MAJKOVCI,M,70,Partia e Drejtësisë - PD,,191
FAHRI BLAKAJ,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,104
FAHRI GRAJQEVCI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,40
FAHRI KARAGJYZI,M,89,AKR - ALEANCA KOSOVA E RE,,32
FAHRI OMER,M,102,KDTP - Kosova Demokratik Türk Partisi,,20
FAHRI UKA,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,659
FAHRI ZEQIRI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,149
FAHRIJE GASHI,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,105
FAHRIJE HAKLAJ,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,161
FAHRIJE HAXHIMURATI,F,66,INICIATIVA QYTETARE NDRYSHE RAHOVEC,,1
FAHRIJE HOTI,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,65
FAHRIJE KRYEZIU,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,273
FAHRIJE LLAPASHTICA,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,34
FAIK BAMJA,M,63,PK - PARTIA KONSERVATORE E KOSOVËS,,39
FAIK DARDHISHTA,M,70,Partia e Drejtësisë - PD,,34
FAIK GASHI,M,121,Lëvizja Për Bashkim - LB,,29
FAIK HASANAJ,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,95
FAIK KRYEZIU,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,92
FAIK LEKAJ,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,172
FAIK RAMADANI,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,223
FAIK REXHEPAJ,M,89,AKR - ALEANCA KOSOVA E RE,,87
FAIK TOFAJ,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,895
FAIK UKSHINI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,152
FAIK ZENUNI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,154
FAKETE DUSHI,F,70,Partia e Drejtësisë - PD,,130
FAKETE SADIKU,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,19
FANE THAQI,F,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,76
FANOL HALIMI,M,61,LËVIZJA VETËVENDOSJE!,,86
FARETA KADRIU,F,95,PARTIA E ASHKALINJËVE PËR INTEGRIM - PAI,,10
FARETA SKEJA,F,70,Partia e Drejtësisë - PD,,4
FARIJE BYTYQI,F,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,315
FARIYE TABAK,F,90,KTAP - KOSOVA TÜRK ADALET PARTISI,,26
FARUK ALIU,M,70,Partia e Drejtësisë - PD,,141
FARUK BEQIRI,M,61,LËVIZJA VETËVENDOSJE!,,95
FARUK DAKAJ,M,61,LËVIZJA VETËVENDOSJE!,,171
FARUK GURI,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,488
FARUK HAZIRI,M,122,PDAK - Partia Demokratike e Ashkanlive të Kosovës,,0
FARUK HYSENI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,131
FARUK MUJKA,M,61,LËVIZJA VETËVENDOSJE!,,192
FARUK QARKAXHIJA,M,61,LËVIZJA VETËVENDOSJE!,,28
FARUK RACI,M,89,AKR - ALEANCA KOSOVA E RE,,23
FARUK SALIHU,M,111,ADK - ALTERNATIVA DEMOKRATIKE E KOSOVËS,,134
