id,Party_ID,Party,Votes,Municipality
19,147,SRPSKA LISTA,210,Prishtinë
19,149,ALEANCA KOSOVA E RE,4499,Prishtinë
19,160,LIDHJA DEMOKRATIKE E KOSOVËS,21865,Prishtinë
19,173,FJALA,109,Prishtinë
19,177,PARTIA DEMOKRATIKE E KOSOVËS,14250,Prishtinë
20,103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,2496,Prizren
20,119,NISMA SOCIALDEMOKRATE,3408,Prizren
20,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,3541,Prizren
20,123,KOALICIJA VAKAT,1918,Prizren
20,136,SOCIJALDEMOKRATSKA UNIJA,1059,Prizren
20,139,LËVIZJA PËRPARIMTARE E ROMËVE TË KOSOVËS,426,Prizren
20,143,JEDINSTVENA GORANSKA PARTIJA,281,Prizren
20,144,LËVIZJA VETËVENDOSJE!,16469,Prizren
20,149,ALEANCA KOSOVA E RE,519,Prizren
20,150,NOVA DEMOKRATSKA STRANKA,1933,Prizren
20,151,YENİLİKÇİ TÜRK HAREKET PARTİSİ,904,Prizren
20,160,LIDHJA DEMOKRATIKE E KOSOVËS,8960,Prizren
20,177,PARTIA DEMOKRATIKE E KOSOVËS,14669,Prizren
20,179,NAŠA INICIJATIVA,566,Prizren
20,184,PARTIA ROME E BASHKUAR E KOSOVËS,131,Prizren
21,113,LISTA E PAVARUR BEKIM JASHARI,6694,Skënderaj
21,116,INICIATIVA QYTETARE PËR SKENDERAJ,229,Skënderaj
21,119,NISMA SOCIALDEMOKRATE,356,Skënderaj
21,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,393,Skënderaj
21,122,INICIATIVA QYTETARE PROGRESI PËR SKËNDERAJ,222,Skënderaj
21,144,LËVIZJA VETËVENDOSJE!,1184,Skënderaj
21,147,SRPSKA LISTA,126,Skënderaj
21,148,HAMDI MALAJ,47,Skënderaj
21,149,ALEANCA KOSOVA E RE,206,Skënderaj
21,160,LIDHJA DEMOKRATIKE E KOSOVËS,207,Skënderaj
21,173,FJALA,69,Skënderaj
21,177,PARTIA DEMOKRATIKE E KOSOVËS,11415,Skënderaj
22,119,NISMA SOCIALDEMOKRATE,201,Shtime
22,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,188,Shtime
22,140,LËVIZJA PËR BASHKIM,276,Shtime
22,144,LËVIZJA VETËVENDOSJE!,4367,Shtime
22,149,ALEANCA KOSOVA E RE,356,Shtime
22,160,LIDHJA DEMOKRATIKE E KOSOVËS,1353,Shtime
22,162,PARTIA E ASHKALINJËVE PËR INTEGRIM,233,Shtime
22,177,PARTIA DEMOKRATIKE E KOSOVËS,5250,Shtime
23,144,LËVIZJA VETËVENDOSJE!,681,Shtërpcë
23,145,GI SLOBODA ŠTRPCE,644,Shtërpcë
23,147,SRPSKA LISTA,4231,Shtërpcë
23,159,BASHKË PËR SHTËRPCËN,963,Shtërpcë
24,119,NISMA SOCIALDEMOKRATE,510,Suharekë
24,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,10337,Suharekë
24,144,LËVIZJA VETËVENDOSJE!,3221,Suharekë
24,160,LIDHJA DEMOKRATIKE E KOSOVËS,7958,Suharekë
24,177,PARTIA DEMOKRATIKE E KOSOVËS,3659,Suharekë
24,185,INICIATIVA E THERANDËS,846,Suharekë
25,119,NISMA SOCIALDEMOKRATE,1785,Ferizaj
25,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,4529,Ferizaj
25,135,NE MUNDEMI,1394,Ferizaj
