id,Party_ID,Party,Acronym,Votes,Municipality
18,111,Iniciativa e Re Demokratike e Kosovës,IRDK,23,Podujevë
18,125,Socialdemokratska Unija,SDU,3,Podujevë
18,126,Kosovaki Nevi Romani Partia,KNRP,32,Podujevë
18,127,Lëvizja VETËVENDOSJE!,LV,25899,Podujevë
18,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,140,Podujevë
18,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,5,Podujevë
18,130,Partia e Ashkalinjëve për Integrim,PAI,156,Podujevë
18,131,Nova Demokratska Stranka,NDS,25,Podujevë
18,132,Lidhja Demokratike e Kosovës,LDK,9819,Podujevë
18,133,Naša Inicijativa,NAŠA,15,Podujevë
18,134,Partia Demokratike e Kosovës,PDK,4717,Podujevë
18,122,Koalicija Zajeno,KZ,4,Podujevë
18,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,34,Podujevë
18,124,Romani Iniciyativa,RI,9,Podujevë
18,135,Aleanca për Ardhmërinë e Kosovës,AAK,892,Podujevë
18,136,Partia Liberale Egjiptiane,PLE,8,Podujevë
19,111,Iniciativa e Re Demokratike e Kosovës,IRDK,53,Prishtinë
19,112,Kosova Demokratik Türk Partisi,KDTP,516,Prishtinë
19,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,116,Prishtinë
19,116,Lëvizja për Bashkëveprim,LpB,51,Prishtinë
19,113,Koalicija VAKAT,VAKAT,91,Prishtinë
19,114,Yenilikçi Türk Hareket Partisi,YTHP,94,Prishtinë
19,119,Srpska Lista,SL,276,Prishtinë
19,120,Partia Balliste,PB,19,Prishtinë
19,117,Partia Rome e Bashkuar e Kosovës,PREBK,19,Prishtinë
19,118,Srpski Demokratski Savez,SDS,22,Prishtinë
19,121,Nisma Socialdemokrate,NISMA,1569,Prishtinë
19,122,Koalicija Zajeno,KZ,27,Prishtinë
19,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,110,Prishtinë
19,124,Romani Iniciyativa,RI,29,Prishtinë
19,125,Socialdemokratska Unija,SDU,58,Prishtinë
19,126,Kosovaki Nevi Romani Partia,KNRP,54,Prishtinë
19,127,Lëvizja VETËVENDOSJE!,LV,71873,Prishtinë
19,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,180,Prishtinë
19,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,11,Prishtinë
19,130,Partia e Ashkalinjëve për Integrim,PAI,39,Prishtinë
19,131,Nova Demokratska Stranka,NDS,61,Prishtinë
19,132,Lidhja Demokratike e Kosovës,LDK,17961,Prishtinë
19,133,Naša Inicijativa,NAŠA,50,Prishtinë
19,134,Partia Demokratike e Kosovës,PDK,12964,Prishtinë
19,135,Aleanca për Ardhmërinë e Kosovës,AAK,3870,Prishtinë
19,136,Partia Liberale Egjiptiane,PLE,25,Prishtinë
19,137,Jedinstvena Goranska Partija,JGP,41,Prishtinë
19,138,FJALA,FJALA,171,Prishtinë
2,126,Kosovaki Nevi Romani Partia,KNRP,32,Gjakovë
2,127,Lëvizja VETËVENDOSJE!,LV,24087,Gjakovë
2,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,54,Gjakovë
2,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,2,Gjakovë
2,130,Partia e Ashkalinjëve për Integrim,PAI,45,Gjakovë
2,131,Nova Demokratska Stranka,NDS,13,Gjakovë
2,132,Lidhja Demokratike e Kosovës,LDK,3688,Gjakovë
2,133,Naša Inicijativa,NAŠA,12,Gjakovë
2,121,Nisma Socialdemokrate,NISMA,526,Gjakovë
2,122,Koalicija Zajeno,KZ,3,Gjakovë
2,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,63,Gjakovë
2,124,Romani Iniciyativa,RI,8,Gjakovë
2,125,Socialdemokratska Unija,SDU,14,Gjakovë
2,111,Iniciativa e Re Demokratike e Kosovës,IRDK,666,Gjakovë
2,112,Kosova Demokratik Türk Partisi,KDTP,19,Gjakovë
2,113,Koalicija VAKAT,VAKAT,42,Gjakovë
2,114,Yenilikçi Türk Hareket Partisi,YTHP,2,Gjakovë
2,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,6,Gjakovë
2,116,Lëvizja për Bashkëveprim,LpB,20,Gjakovë
2,117,Partia Rome e Bashkuar e Kosovës,PREBK,98,Gjakovë
2,118,Srpski Demokratski Savez,SDS,4,Gjakovë
2,119,Srpska Lista,SL,2,Gjakovë
2,120,Partia Balliste,PB,4,Gjakovë
2,135,Aleanca për Ardhmërinë e Kosovës,AAK,10295,Gjakovë
2,136,Partia Liberale Egjiptiane,PLE,734,Gjakovë
2,137,Jedinstvena Goranska Partija,JGP,6,Gjakovë
2,138,FJALA,FJALA,19,Gjakovë
2,134,Partia Demokratike e Kosovës,PDK,3127,Gjakovë
20,112,Kosova Demokratik Türk Partisi,KDTP,3219,Prizren
20,113,Koalicija VAKAT,VAKAT,2871,Prizren
20,114,Yenilikçi Türk Hareket Partisi,YTHP,628,Prizren
20,138,FJALA,FJALA,101,Prizren
20,116,Lëvizja për Bashkëveprim,LpB,35,Prizren
20,117,Partia Rome e Bashkuar e Kosovës,PREBK,454,Prizren
20,118,Srpski Demokratski Savez,SDS,2,Prizren
20,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,25,Prizren
20,134,Partia Demokratike e Kosovës,PDK,11428,Prizren
20,135,Aleanca për Ardhmërinë e Kosovës,AAK,2182,Prizren
20,136,Partia Liberale Egjiptiane,PLE,77,Prizren
20,137,Jedinstvena Goranska Partija,JGP,236,Prizren
20,111,Iniciativa e Re Demokratike e Kosovës,IRDK,162,Prizren
20,125,Socialdemokratska Unija,SDU,1778,Prizren
20,126,Kosovaki Nevi Romani Partia,KNRP,173,Prizren
20,127,Lëvizja VETËVENDOSJE!,LV,33268,Prizren
20,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,94,Prizren
20,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,236,Prizren
20,130,Partia e Ashkalinjëve për Integrim,PAI,141,Prizren
20,131,Nova Demokratska Stranka,NDS,2089,Prizren
20,119,Srpska Lista,SL,25,Prizren
20,120,Partia Balliste,PB,12,Prizren
20,121,Nisma Socialdemokrate,NISMA,2731,Prizren
20,122,Koalicija Zajeno,KZ,74,Prizren
20,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,346,Prizren
20,124,Romani Iniciyativa,RI,24,Prizren
20,133,Naša Inicijativa,NAŠA,926,Prizren
20,132,Lidhja Demokratike e Kosovës,LDK,6672,Prizren
21,112,Kosova Demokratik Türk Partisi,KDTP,6,Skënderaj
21,113,Koalicija VAKAT,VAKAT,12,Skënderaj
21,111,Iniciativa e Re Demokratike e Kosovës,IRDK,39,Skënderaj
21,116,Lëvizja për Bashkëveprim,LpB,3,Skënderaj
21,117,Partia Rome e Bashkuar e Kosovës,PREBK,4,Skënderaj
21,114,Yenilikçi Türk Hareket Partisi,YTHP,12,Skënderaj
21,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,2,Skënderaj
21,119,Srpska Lista,SL,142,Skënderaj
21,120,Partia Balliste,PB,3,Skënderaj
21,121,Nisma Socialdemokrate,NISMA,509,Skënderaj
21,122,Koalicija Zajeno,KZ,1,Skënderaj
21,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,12,Skënderaj
21,124,Romani Iniciyativa,RI,12,Skënderaj
21,125,Socialdemokratska Unija,SDU,13,Skënderaj
21,126,Kosovaki Nevi Romani Partia,KNRP,3,Skënderaj
21,127,Lëvizja VETËVENDOSJE!,LV,4132,Skënderaj
21,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,28,Skënderaj
21,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,3,Skënderaj
21,130,Partia e Ashkalinjëve për Integrim,PAI,8,Skënderaj
21,118,Srpski Demokratski Savez,SDS,0,Skënderaj
21,132,Lidhja Demokratike e Kosovës,LDK,576,Skënderaj
21,133,Naša Inicijativa,NAŠA,11,Skënderaj
21,134,Partia Demokratike e Kosovës,PDK,14634,Skënderaj
21,135,Aleanca për Ardhmërinë e Kosovës,AAK,353,Skënderaj
21,136,Partia Liberale Egjiptiane,PLE,6,Skënderaj
21,137,Jedinstvena Goranska Partija,JGP,2,Skënderaj
21,138,FJALA,FJALA,102,Skënderaj
21,131,Nova Demokratska Stranka,NDS,0,Skënderaj
22,125,Socialdemokratska Unija,SDU,1,Shtime
22,127,Lëvizja VETËVENDOSJE!,LV,6932,Shtime
22,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,44,Shtime
22,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,1,Shtime
22,126,Kosovaki Nevi Romani Partia,KNRP,8,Shtime
22,118,Srpski Demokratski Savez,SDS,0,Shtime
22,119,Srpska Lista,SL,0,Shtime
22,120,Partia Balliste,PB,2,Shtime
22,121,Nisma Socialdemokrate,NISMA,444,Shtime
22,122,Koalicija Zajeno,KZ,3,Shtime
22,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,25,Shtime
22,124,Romani Iniciyativa,RI,9,Shtime
22,111,Iniciativa e Re Demokratike e Kosovës,IRDK,29,Shtime
22,112,Kosova Demokratik Türk Partisi,KDTP,4,Shtime
22,113,Koalicija VAKAT,VAKAT,20,Shtime
22,114,Yenilikçi Türk Hareket Partisi,YTHP,2,Shtime
22,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,0,Shtime
22,116,Lëvizja për Bashkëveprim,LpB,11,Shtime
22,117,Partia Rome e Bashkuar e Kosovës,PREBK,14,Shtime
22,130,Partia e Ashkalinjëve për Integrim,PAI,267,Shtime
22,131,Nova Demokratska Stranka,NDS,1,Shtime
22,132,Lidhja Demokratike e Kosovës,LDK,1373,Shtime
22,133,Naša Inicijativa,NAŠA,9,Shtime
22,134,Partia Demokratike e Kosovës,PDK,4051,Shtime
22,135,Aleanca për Ardhmërinë e Kosovës,AAK,276,Shtime
22,136,Partia Liberale Egjiptiane,PLE,3,Shtime
22,137,Jedinstvena Goranska Partija,JGP,2,Shtime
22,138,FJALA,FJALA,7,Shtime
23,111,Iniciativa e Re Demokratike e Kosovës,IRDK,2,Shtërpcë
23,112,Kosova Demokratik Türk Partisi,KDTP,3,Shtërpcë
23,113,Koalicija VAKAT,VAKAT,0,Shtërpcë
23,114,Yenilikçi Türk Hareket Partisi,YTHP,1,Shtërpcë
23,130,Partia e Ashkalinjëve për Integrim,PAI,0,Shtërpcë
23,131,Nova Demokratska Stranka,NDS,0,Shtërpcë
