id,Polling Center,Party_ID,Party,Acronym,Votes,Municipality
1,0111C,112,Kosova Demokratik Türk Partisi,KDTP,0,Deçan
1,0105C,132,Lidhja Demokratike e Kosovës,LDK,355,Deçan
1,0105C,133,Naša Inicijativa,NAŠA,0,Deçan
1,0105C,134,Partia Demokratike e Kosovës,PDK,65,Deçan
1,0105C,135,Aleanca për Ardhmërinë e Kosovës,AAK,519,Deçan
1,0105C,136,Partia Liberale Egjiptiane,PLE,0,Deçan
1,0105C,137,Jedinstvena Goranska Partija,JGP,0,Deçan
1,0105C,138,FJALA,FJALA,0,Deçan
1,0106C,111,Iniciativa e Re Demokratike e Kosovës,IRDK,0,Deçan
1,0106C,112,Kosova Demokratik Türk Partisi,KDTP,0,Deçan
1,0106C,113,Koalicija VAKAT,VAKAT,1,Deçan
1,0106C,114,Yenilikçi Türk Hareket Partisi,YTHP,0,Deçan
1,0106C,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,0,Deçan
1,0106C,116,Lëvizja për Bashkëveprim,LpB,0,Deçan
1,0106C,117,Partia Rome e Bashkuar e Kosovës,PREBK,0,Deçan
1,0106C,118,Srpski Demokratski Savez,SDS,0,Deçan
1,0106C,119,Srpska Lista,SL,0,Deçan
1,0106C,120,Partia Balliste,PB,0,Deçan
1,0106C,121,Nisma Socialdemokrate,NISMA,8,Deçan
1,0106C,122,Koalicija Zajeno,KZ,0,Deçan
1,0106C,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,0,Deçan
1,0106C,124,Romani Iniciyativa,RI,1,Deçan
1,0106C,125,Socialdemokratska Unija,SDU,0,Deçan
1,0106C,126,Kosovaki Nevi Romani Partia,KNRP,0,Deçan
1,0106C,127,Lëvizja VETËVENDOSJE!,LV,144,Deçan
1,0106C,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,0,Deçan
1,0106C,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,0,Deçan
1,0106C,130,Partia e Ashkalinjëve për Integrim,PAI,0,Deçan
1,0106C,131,Nova Demokratska Stranka,NDS,0,Deçan
1,0112C,113,Koalicija VAKAT,VAKAT,0,Deçan
