id,Candidate,Party_ID,Party,Votes,Municipality
27,ALBERT MAXHUNI,119,NISMA SOCIALDEMOKRATE,322,Vushtrri
27,ARSIM REXHEPI,144,LËVIZJA VETËVENDOSJE!,7667,Vushtrri
27,ERGIN SUNGURI,103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,436,Vushtrri
27,FERIT IDRIZI,177,PARTIA DEMOKRATIKE E KOSOVËS,10247,Vushtrri
27,JETON SALIHU,114,JETON SALIHU,245,Vushtrri
27,MENSUT ADEMI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,565,Vushtrri
27,XHAFER TAHIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,9956,Vushtrri
28,QERKIN VESELI,160,LIDHJA DEMOKRATIKE E KOSOVËS,259,Zubin Potoku
28,SLAVISA BISEVAC,181,GRAĐANSKA INICIJATIVA ZUBIN POTOK,377,Zubin Potoku
28,SRDJAN VULOVIC,147,SRPSKA LISTA,3225,Zubin Potoku
29,DRAGISA MILOVIC,147,SRPSKA LISTA,5394,Zveçan
29,SLADJANA PANTOVIC,137,SLADJANA PANTOVIĆ,86,Zveçan
30,ALBAN KRASNIQI,144,LËVIZJA VETËVENDOSJE!,3469,Malishevë
30,BAJRUSH HOTI,160,LIDHJA DEMOKRATIKE E KOSOVËS,3738,Malishevë
30,EKREM KASTRATI,119,NISMA SOCIALDEMOKRATE,7548,Malishevë
30,ISNI KILAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,6383,Malishevë
30,KASTRIOT BERISHA,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,933,Malishevë
30,SELAJDIN BYTYCI,141,SELAJDIN BYTYҪI,78,Malishevë
31,AGRON KUCI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1419,Junik
31,BESART TOFAJ,144,LËVIZJA VETËVENDOSJE!,336,Junik
31,FATOS SHALA,177,PARTIA DEMOKRATIKE E KOSOVËS,66,Junik
31,RUZHDI SHEHU,160,LIDHJA DEMOKRATIKE E KOSOVËS,1319,Junik
32,ABDULHADI KRASNIC,103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,1430,Mamushë
32,ARIF BUTUC,117,KOSOVA ADALET TÜRK PARTİSİ,1080,Mamushë
32,ILYAS BAYRAKTAR,126,İLYAS BAYRAKTAR,368,Mamushë
32,RIZA KRUEZI,156,INICIATIVA ERDEM,45,Mamushë
33,MEHMET BALLAZHI,177,PARTIA DEMOKRATIKE E KOSOVËS,2561,Hani i Elezit
33,RUFKI SUMA,163,RUFKI SUMA,2106,Hani i Elezit
33,SHERIF BERISHA,144,LËVIZJA VETËVENDOSJE!,322,Hani i Elezit
34,BRANIMIR STOJANOVIC,155,BRANIMIR STOJANOVIĆ,1843,Graçanicë
34,LJILJANA SUBARIC,147,SRPSKA LISTA,6506,Graçanicë
35,KATARINA RISTIC-ILIC,147,SRPSKA LISTA,2427,Ranillug
36,DRAGAN PETKOVIC,147,SRPSKA LISTA,1684,Partesh
36,JUGOSLAV JOVANOVIC,115,JUGOSLAV JOVANOVIĆ,76,Partesh
36,NENAD CVETKOVIC,161,NARODNA SLOGA,475,Partesh
37,SASA MIRKOVIC,152,NARODNO JEDINSTVO,436,Kllokot
37,STRAHINJA SPASIC,187,GI SRPSKA NARODNA SLOGA,699,Kllokot
37,VLADAN BOGDANOVIC,147,SRPSKA LISTA,789,Kllokot
38,ERDEN ATIQ,189,"INICIATIVA QYTETARE ""MITROVICA""",34,Mitrovicë e Veriut
38,MILAN RADOJEVIC,147,SRPSKA LISTA,64,Mitrovicë e Veriut
38,ERDEN ATIQ,189,"INICIATIVA QYTETARE ""MITROVICA""",1022,Mitrovicë e Veriut
38,MILAN RADOJEVIC,147,SRPSKA LISTA,10769,Mitrovicë e Veriut
