id,Polling Center,Candidate,Party_ID,Party,Votes,Municipality
4,0447D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,69,Gjilan
4,0447D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,58,Gjilan
4,BM004,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,148,Gjilan
4,BM004,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,65,Gjilan
4,CB104,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,278,Gjilan
4,CB104,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,285,Gjilan
5,0501A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,132,Dragash
5,0501A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,157,Dragash
5,0501X,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,176,Dragash
5,0501X,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,190,Dragash
5,0502A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,117,Dragash
5,0502A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,204,Dragash
5,0503A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,97,Dragash
5,0503A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,292,Dragash
5,0504A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,81,Dragash
5,0504A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,112,Dragash
5,0505A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,129,Dragash
5,0505A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,57,Dragash
5,0506A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,308,Dragash
5,0506A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,272,Dragash
5,0507A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,908,Dragash
5,0507A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,949,Dragash
5,0508A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,385,Dragash
5,0508A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,433,Dragash
5,0509A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,313,Dragash
5,0509A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,104,Dragash
5,0510A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,449,Dragash
5,0510A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,471,Dragash
5,0511A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,239,Dragash
5,0511A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,250,Dragash
5,0512A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,204,Dragash
5,0512A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,172,Dragash
5,0513A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,199,Dragash
5,0513A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,209,Dragash
5,0514A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,18,Dragash
5,0514A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,23,Dragash
5,0515A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,128,Dragash
5,0515A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,127,Dragash
5,0516A,BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,55,Dragash
5,0516A,SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,104,Dragash
