id,Polling Center,Party_ID,Party,Votes,Municipality
1,0104C,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,0,Deçan
1,0104C,13,NAPREDNA SNAGA KOSOVA,0,Deçan
1,0104C,14,PARTIA LIBERALE EGJIPTIANE  %,4,Deçan
1,0104C,15,PARTIA LIBERALE EGJIPTIANE,0,Deçan
1,0104C,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,0,Deçan
1,0104C,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,0,Deçan
1,0104C,18,PARTIA DEMOKRATIKE E UNITETIT,0,Deçan
1,0104C,19,FJALA,1,Deçan
1,0104C,20,KOALICIJA VAKAT,1,Deçan
1,0104C,21,GI. ZA PROSPERITET KOSOVA,0,Deçan
1,0104C,22,NOVA DEMOKRATSKA STRANKA,4,Deçan
1,0104C,23,KOSOVA TÜRK ADALET PARTISI,0,Deçan
1,0104C,24,KOALICIJA SDA,3,Deçan
1,0104C,25,Lëvizja VETËVENDOSJE!,61,Deçan
1,0104C,26,PARTIA ROME E BASHKUAR E KOSOVËS,1,Deçan
1,0105C,1,JEDINSTVENA GORANSKA PARTIJA,1,Deçan
1,0105C,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,830,Deçan
1,0105C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,2,Deçan
1,0105C,4,G I EROMENDJE ALTERNATIVA,0,Deçan
1,0105C,5,GRAĐANSKA INICIJATIVA GORE,1,Deçan
1,0105C,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,486,Deçan
1,0105C,7,POKRET ZA GORA,0,Deçan
1,0105C,8,PROGRESIVNA DEMOKRATSKA STRANKA,2,Deçan
1,0105C,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,3,Deçan
1,0105C,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,Deçan
1,0105C,11,SAMOSTALNA LIBERALNA STRANKA,0,Deçan
1,0105C,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,0,Deçan
1,0105C,13,NAPREDNA SNAGA KOSOVA,0,Deçan
1,0105C,14,PARTIA LIBERALE EGJIPTIANE  %,1,Deçan
1,0105C,15,PARTIA LIBERALE EGJIPTIANE,0,Deçan
1,0105C,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,0,Deçan
1,0105C,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,0,Deçan
1,0105C,18,PARTIA DEMOKRATIKE E UNITETIT,0,Deçan
1,0105C,19,FJALA,15,Deçan
1,0105C,20,KOALICIJA VAKAT,0,Deçan
1,0105C,21,GI. ZA PROSPERITET KOSOVA,0,Deçan
1,0105C,22,NOVA DEMOKRATSKA STRANKA,0,Deçan
1,0105C,23,KOSOVA TÜRK ADALET PARTISI,0,Deçan
1,0105C,24,KOALICIJA SDA,0,Deçan
1,0105C,25,Lëvizja VETËVENDOSJE!,153,Deçan
1,0105C,26,PARTIA ROME E BASHKUAR E KOSOVËS,0,Deçan
1,0106C,1,JEDINSTVENA GORANSKA PARTIJA,2,Deçan
1,0106C,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,808,Deçan
1,0106C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,0,Deçan
1,0106C,4,G I EROMENDJE ALTERNATIVA,0,Deçan
1,0106C,5,GRAĐANSKA INICIJATIVA GORE,0,Deçan
1,0106C,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,87,Deçan
1,0106C,7,POKRET ZA GORA,1,Deçan
1,0106C,8,PROGRESIVNA DEMOKRATSKA STRANKA,0,Deçan
1,0106C,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,2,Deçan
1,0106C,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,Deçan
1,0106C,11,SAMOSTALNA LIBERALNA STRANKA,0,Deçan
1,0106C,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,0,Deçan
1,0106C,13,NAPREDNA SNAGA KOSOVA,0,Deçan
1,0106C,14,PARTIA LIBERALE EGJIPTIANE  %,0,Deçan
1,0106C,15,PARTIA LIBERALE EGJIPTIANE,0,Deçan
1,0106C,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,0,Deçan
1,0106C,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,0,Deçan
1,0106C,18,PARTIA DEMOKRATIKE E UNITETIT,0,Deçan
1,0106C,19,FJALA,3,Deçan
1,0106C,20,KOALICIJA VAKAT,0,Deçan
1,0106C,21,GI. ZA PROSPERITET KOSOVA,0,Deçan
1,0106C,22,NOVA DEMOKRATSKA STRANKA,0,Deçan
1,0106C,23,KOSOVA TÜRK ADALET PARTISI,0,Deçan
1,0106C,24,KOALICIJA SDA,0,Deçan
1,0106C,25,Lëvizja VETËVENDOSJE!,34,Deçan
1,0106C,26,PARTIA ROME E BASHKUAR E KOSOVËS,0,Deçan
1,0107C,1,JEDINSTVENA GORANSKA PARTIJA,1,Deçan
1,0107C,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,735,Deçan
1,0107C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,0,Deçan
1,0107C,4,G I EROMENDJE ALTERNATIVA,0,Deçan
1,0107C,5,GRAĐANSKA INICIJATIVA GORE,0,Deçan
1,0107C,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,23,Deçan
1,0107C,7,POKRET ZA GORA,0,Deçan
1,0107C,8,PROGRESIVNA DEMOKRATSKA STRANKA,0,Deçan
1,0107C,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,3,Deçan
1,0107C,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,Deçan
1,0107C,11,SAMOSTALNA LIBERALNA STRANKA,0,Deçan
1,0107C,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,0,Deçan
1,0107C,13,NAPREDNA SNAGA KOSOVA,0,Deçan
1,0107C,14,PARTIA LIBERALE EGJIPTIANE  %,0,Deçan
1,0107C,15,PARTIA LIBERALE EGJIPTIANE,0,Deçan
1,0107C,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,0,Deçan
1,0107C,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,0,Deçan
1,0107C,18,PARTIA DEMOKRATIKE E UNITETIT,0,Deçan
1,0107C,19,FJALA,2,Deçan
1,0107C,20,KOALICIJA VAKAT,0,Deçan
1,0107C,21,GI. ZA PROSPERITET KOSOVA,0,Deçan
1,0107C,22,NOVA DEMOKRATSKA STRANKA,0,Deçan
1,0107C,23,KOSOVA TÜRK ADALET PARTISI,0,Deçan
1,0107C,24,KOALICIJA SDA,0,Deçan
1,0107C,25,Lëvizja VETËVENDOSJE!,19,Deçan
1,0107C,26,PARTIA ROME E BASHKUAR E KOSOVËS,0,Deçan
1,0108C,1,JEDINSTVENA GORANSKA PARTIJA,3,Deçan
1,0108C,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,774,Deçan
1,0108C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,1,Deçan
1,0108C,4,G I EROMENDJE ALTERNATIVA,0,Deçan
1,0108C,5,GRAĐANSKA INICIJATIVA GORE,2,Deçan
1,0108C,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,537,Deçan
1,0108C,7,POKRET ZA GORA,1,Deçan
1,0108C,8,PROGRESIVNA DEMOKRATSKA STRANKA,0,Deçan
1,0108C,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,1,Deçan
1,0108C,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,1,Deçan
1,0108C,11,SAMOSTALNA LIBERALNA STRANKA,0,Deçan
1,0108C,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,0,Deçan
1,0108C,13,NAPREDNA SNAGA KOSOVA,1,Deçan
1,0108C,14,PARTIA LIBERALE EGJIPTIANE  %,0,Deçan
1,0108C,15,PARTIA LIBERALE EGJIPTIANE,0,Deçan
1,0108C,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,0,Deçan
1,0108C,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,0,Deçan
1,0108C,18,PARTIA DEMOKRATIKE E UNITETIT,0,Deçan
1,0108C,19,FJALA,3,Deçan
1,0108C,20,KOALICIJA VAKAT,1,Deçan
1,0108C,21,GI. ZA PROSPERITET KOSOVA,0,Deçan
1,0108C,22,NOVA DEMOKRATSKA STRANKA,0,Deçan
1,0108C,23,KOSOVA TÜRK ADALET PARTISI,1,Deçan
1,0108C,24,KOALICIJA SDA,0,Deçan
1,0108C,25,Lëvizja VETËVENDOSJE!,149,Deçan
1,0108C,26,PARTIA ROME E BASHKUAR E KOSOVËS,0,Deçan
1,0110C,1,JEDINSTVENA GORANSKA PARTIJA,3,Deçan
1,0110C,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,801,Deçan
1,0110C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,0,Deçan
1,0110C,4,G I EROMENDJE ALTERNATIVA,0,Deçan
1,0110C,5,GRAĐANSKA INICIJATIVA GORE,1,Deçan
1,0110C,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,171,Deçan
1,0110C,7,POKRET ZA GORA,1,Deçan
1,0110C,8,PROGRESIVNA DEMOKRATSKA STRANKA,0,Deçan
1,0110C,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,2,Deçan
